word,pos,count,tag1,tag2,tag3
echt,ADV,485,Höhe,Beschreibung ,
dramas,NOUN,485,Gattung ,Poetologie,
bruder,NOUN,484,Familie,Typ,
laessen,NOUN,484,,,
indes,ADV,483,,,
hart,ADV,483,,,
herausgeber,NOUN,482,,,
gesund,ADV,482,positive Bewertung,,
geschmack,NOUN,481,Ästhetik,postive Bewertung,
laenger,ADV,480,,,
antwort,NOUN,479,,,
staat,NOUN,479,Politik,,
viert,ADV,478,,,
liebe,VERB,477,Emotion ,,
nieder,ADV,476,,,
unmoeglich,ADV,476,,,
kopf,NOUN,473,Körper,,
ansichten,NOUN,473,,,
oeffentlich,ADV,473,,,
damessen,X,472,,,
berlin,PROPN,471,Ort,,
steigen,VERB,471,,,
beziehen,VERB,471,,,
bearbeitung,NOUN,471,Praktik,,
einflu,PROPN,469,,,
absehen,VERB,469,,,
scheint,VERB,469,,,
maerchen,NOUN,468,Beschreibung,Poetologie,Gattung
beschaeftigung,NOUN,468,Praktik,,
sodann,ADV,467,,,
charakteristik,NOUN,465,Praktik,,
classisch,ADV,464,,,
roemisch,ADV,464,Klassik,,
tatsache,NOUN,464,,,
kraeft,NOUN,463,,,
geniesen,VERB,463,,,
neigung,NOUN,463,,,
bedeuten,VERB,463,,,
dunkel,ADV,462,Tiefe,Beschreibung ,
zweckmaessig,ADV,460,Bewertung,,
erwerben,VERB,460,,,
lebhaft,ADV,459,Beschreibung,,
betrifft,VERB,459,,,
tragoedie,NOUN,459,Gatung,Poetologie,
wecken,VERB,458,,,
faell,PROPN,458,,,
vortragen,VERB,457,,,
volksschule,NOUN,455,Schule,,
voraus,ADV,453,Zeit,Raum ,
unrecht,NOUN,453,,,
gemeinsam,ADV,453,,,
mittler,NOUN,452,,,
tellheim,PROPN,452,Person,Literatur,
angefuehrt,VERB,449,,,
wiederholt,ADV,449,,,
vorig,ADV,448,,,
verwandt,VERB,448,,,
rat,X,447,,,
voelker,NOUN,446,Nation,,
gudrun,PROPN,446,Person,Literatur,
leidenschaft,NOUN,445,Emotion ,,
traegen,NOUN,445,,,
ach,X,445,,,
annehmen,VERB,444,,,
mangel,NOUN,444,,,
wendung,NOUN,444,,,
faust,PROPN,444,Person,Literatur,
